danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713,4
0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,32OlwWuMpZ6b0aN2RZOeMS,269667,4
0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,0F7FA14euOIX8KcbEturGH,113000,4
0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,0VjIjW4GlUZAMYd2vXMi3b,200040,4
0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,7BKLCZ1jbUBVqRi2FVlTVw,244960,4
0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,2XU0oxnq2qxCpomAAuJY8K,209438,4
0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161,4
0.655,0.797,2,-4.787,1,0.153,0.198,0,0.067,0.839,177.928,6habFhsOp2NvshLv26DqMb,229360,4
0.655,0.76,0,-3.669,0,0.045,0.0797,0,0.299,0.409,99.947,09CtPGIpYB4BrO8qb1RGsF,200787,4
0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,27tNWlhdAryQY04Gb2ZhUI,223546,4
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,1rfofaqEpACxVEHIZBJe6W,217307,4
0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907,4
0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,62PaSfnXSMyLshYJrlTuL3,295502,4
0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,0pqnGHJpmpxLKifKRmU6WP,204347,4
0.647,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.015,5xTtaWoae3wi06K5WfVUUH,219200,4
0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.011,7BqHUALzNBTanL6OvsqmC1,214290,4
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088,4
0.616,0.91,0,-3.004,1,0.0386,0.0459,0,0.343,0.693,144.072,6n9yCXvLhnYMgJIiIcMu7D,252040,4
0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560,4
0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,1c8gk2PeTE04A1pIDH9YMk,228093,4
0.397,0.386,0,-10.405,0,0.0503,0.271,0,0.188,0.21,144.242,6l8GvAyoUZwWDgF1e4822w,355400,4
0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4G8gkOterJn0Ywt6uhqbhp,186813,4
0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.115,0.474,122.013,6sy3LkhNFjJWlaeSMNwQ62,257840,4
0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000,4
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,2xLMifQCjDGFmkHkpNLD9h,312820,4
0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,0wwPcA6wtMf6HUMpIRdeP7,267067,4
0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,0tgVpDi06FyKpA1z0VMD4v,263400,3
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,196653,4
0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560,4
0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.43,50kpGaPAhYJ3sGmk6vplg0,233720,4
0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,1WkMMavIMc4JZ8cfMmxHkI,237547,4
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,7KXjTSCq5nL1LoYtL7XAwS,177000,4
0.669,0.871,6,-5.427,0,0.0308,0.0183,0.000663,0.0957,0.848,150.026,4b01uuTqSg9BEJz9G7flkr,181600,4
0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,6R8QsHsGwOiRyI707yxTFE,176219,4
0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,5HCyWlXZPP0y6Gqq8TgA20,141806,4
0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,1zB4vmk8tFRmM9UULNzbLB,187147,4
